atributos,id,longitud,latitud,banosDesde,banosHasta,cantidadImagenes,comuna,dormitorioDesde,dormitorioHasta,esFavorito,esNuevo,esUltimaVenta,esUsado,fechaPublicacion,idTipoMoneda,idTipoOperacion,idTipoOperacionFamilia,idTipoOperacionPredominante,idTipoPropiedadFamilia,imagen,ordenProyecto,precioDesde,precioHasta,precioAlternativoDesde,precioAlternativoHasta,rutaLogo,superficieConstruidaDesde,superficieConstruidaHasta,superficieTerrazaDesde,superficieTerrazaHasta,superficieTerrenoDesde,superficieTerrenoHasta,superficieUtilDesde,superficieUtilHasta,tiene360,tieneMultimedia,rolVerificado,propietarios,titulo,urlFicha,idTipoPlan,mostrarLogo,mostrarCPP,region,start,resultados
[109],1674498,-70.6788,-33.3514,2,2,20,Huechuraba,0,0,False,False,0,True,2021-02-18,2,11,3,11,1,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210218/1674498/s_wm_remax1028018_l_65f23356-443a-4aa6-a064-1fb7b0e03db5_ilist.jpg,63,72.0,72.0,0.0,0.0,6237/2016033014100302871.jpg,0.0,0.0,0.0,0.0,480.0,480.0,0.0,0.0,False,False,False,0,Guanaco Norte,https://www.toctoc.com/propiedades/arriendocorredorasr/casa/huechuraba/guanaco-norte/1674498,5,1,1,metropolitana,0,18
"[107, 110]",1698004,-70.5947,-33.3985,0,0,26,Vitacura,3,3,False,False,0,True,2021-03-20,2,11,3,11,1,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210320/1698004/s_wm_pyglarrain_36305-201036305-1974528_1.jpg,63,140.0,140.0,0.0,0.0,1542/2018071047177715760.jpg,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,0,nueva costanera,https://www.toctoc.com/propiedades/arriendocorredorasr/casa/vitacura/nueva-costanera/1698004,5,1,1,metropolitana,0,18
"[107, 110]",1216463,-70.5786,-33.6044,2,2,8,Puente Alto,4,4,False,False,0,True,2019-04-18,1,11,3,11,1,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20190418/1216463/s_wm_engel_volkers_propiedades_879612_5d2855e9c437c81da5cf70ceb874d3e36899b00b.jpg,64,2900000.0,2900000.0,0.0,0.0,5976/2015090731407547465.jpg,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,0,Santo Domingo / Concha y Toro,https://www.toctoc.com/propiedades/arriendocorredorasr/casa/puente-alto/santo-domingo-concha-y-toro/1216463,5,1,1,metropolitana,0,18
[109],1559274,-70.5196,-33.4013,0,0,4,Las Condes,0,0,False,False,0,True,2020-09-13,1,11,3,11,1,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20200913/1559274/s_wm_berrioszegers_propiedades_11321-201011321-901994_1.jpg,64,5000000.0,5000000.0,0.0,0.0,1599/2015110457515329922.jpg,0.0,0.0,0.0,0.0,3083.0,3083.0,0.0,0.0,False,False,True,0,DOMINICOS ANTIGUO,https://www.toctoc.com/propiedades/arriendocorredorasr/casa/las-condes/dominicos-antiguo/1559274,5,1,1,metropolitana,0,18
[109],1674430,-70.5807656,-33.5389693,3,3,13,La Florida,3,3,False,False,0,True,2021-02-17,1,11,3,11,1,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210217/1674430/s_wm_834afe1b-7e32-47b7-88d7-59f0e8d246c8_20210217_232456.jpeg,67,800000.0,800000.0,0.0,0.0,22394/0216202119530522394.jpeg,0.0,0.0,0.0,0.0,120.0,120.0,0.0,0.0,False,False,False,0,"Arriendo Casa con local comercial, La Florida",https://www.toctoc.com/propiedades/arriendocorredorasr/casa/la-florida/arriendo-casa-con-local-comercial-la-florida/1674430,4,1,0,metropolitana,0,18
"[107, 110]",1688362,-70.8316,-33.5738,1,1,18,Padre Hurtado,2,2,False,False,0,True,2021-03-08,1,11,3,11,1,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210308/1688362/s_wm_inmobiliariaalonsoascui_5412-201005412-1808883_1.jpg,68,450000.0,450000.0,0.0,0.0,14726/0905201917491714726.jpeg,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,0,Villa santa cruz,https://www.toctoc.com/propiedades/arriendocorredorasr/casa/padre-hurtado/villa-santa-cruz/1688362,4,1,0,metropolitana,0,18
"[107, 110]",1642160,-70.5675,-33.4121,1,1,15,Las Condes,1,1,False,False,0,True,2021-01-01,1,11,3,11,1,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210101/1642160/s_wm_nexxos_42828-201042828-2109811_1.jpg,68,460000.0,460000.0,0.0,0.0,15327/2018073102079924760.jpg,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,0,Se arrienda oficina a pasos del Metro Manquehue,https://www.toctoc.com/propiedades/arriendocorredorasr/casa/las-condes/se-arrienda-oficina-a-pasos-del-metro-manquehue/1642160,4,1,0,metropolitana,0,18
"[107, 108, 109]",1709795,-70.7338634,-33.366755,2,2,19,Quilicura,3,3,False,False,0,True,2021-04-06,1,11,3,11,1,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210406/1709795/s_wm_9c37a092-fb1b-47b8-9cad-a695a955b0a2_20210406_141019.jpg,68,400000.0,400000.0,0.0,0.0,18408/,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,False,False,0,ESPECTACULAR CASA EN CENTRO QUILICURA,https://www.toctoc.com/propiedades/arriendocorredorasr/casa/quilicura/espectacular-casa-en-centro-quilicura/1709795,4,1,0,metropolitana,0,18
"[107, 110]",1579687,-70.6713,-33.4424,4,4,42,Santiago,6,6,False,False,0,True,2020-12-28,1,11,3,11,1,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20201006/1579687/s_wm_nexxos_39795-201039795-2052571_1.jpg,68,1200000.0,1200000.0,0.0,0.0,15327/2018073102079924760.jpg,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,0,Arzobispo,https://www.toctoc.com/propiedades/arriendocorredorasr/casa/santiago/arzobispo/1579687,4,1,0,metropolitana,0,18
[],1711630,-70.653,-33.4591,1,1,13,Santiago,2,2,False,False,0,True,2021-04-08,1,11,3,0,1,https://d1cfu8v5n1wsm.cloudfront.net/toctoc/fotos/20210408/1711630/easyprop_9706-201009706-1852103_1.jpg,68,350000.0,350000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,Roberto Espínoza con Avenida Matta,https://www.toctoc.com/propiedades/arriendocorredorasr/casa/santiago/roberto-espinoza-con-avenida-matta/1711630,4,1,0,metropolitana,0,18
